phi1,phi2,nstars,width
-5.994100464789348,-1.5176120863785674,18.853517529133047,0.12879431384702392
-5.894100464789348,-1.5000641447431275,25.392102535560443,0.11478389169555812
-5.794100464789349,-1.4729043368446957,20.952982870257078,0.11931382442730773
-5.694100464789349,-1.4347035255365737,21.469522879492683,0.09232684969093216
-5.594100464789349,-1.4218068839817757,24.086458834440517,0.08832116009297167
-5.49410046478935,-1.3760482912388474,19.139231477145803,0.09209568116187396
-5.39410046478935,-1.3544008115039246,27.924956753973685,0.07977466839055758
-5.29410046478935,-1.3336102998848007,28.310980947395667,0.10629827124253573
-5.194100464789351,-1.3179118181419662,24.185786291323012,0.11581520158577661
-5.094100464789351,-1.3049662185752575,19.060456556994804,0.09625927777257198
-4.994100464789351,-1.2762083280377698,21.252488119154446,0.10422808406619902
-4.894100464789352,-1.234447280727847,19.934139225249854,0.11513942997036827
-4.794100464789352,-1.211572592742523,19.975692061667676,0.09491377154770982
-4.6941004647893525,-1.1848628600721824,26.339986511270816,0.1018769469180884
-4.594100464789353,-1.148032488905918,23.655962919673183,0.10611328131349791
-4.494100464789353,-1.1214375251493718,25.42955001994458,0.09876502711242444
-4.394100464789354,-1.1053620953862602,27.162417755192866,0.09384294637546405
-4.294100464789354,-1.0881760320943914,20.03436325135956,0.1032742238114567
-4.194100464789354,-1.0483659167336752,16.932101582421552,0.11558654645595262
-4.094100464789355,-1.0261917810672543,20.429150333980203,0.1048637572060628
-3.994100464789355,-1.0123477135254624,20.396851809863804,0.09800511599577467
-3.8941004647893553,-0.9913775924480686,18.999999999999993,0.09909224879745517
-3.7941004647893557,-0.956293132133711,22.505843871486725,0.10828503663564296
-3.694100464789356,-0.9387766164976004,27.524002653023643,0.09723973825123569
-3.5941004647893564,-0.9253601885212497,23.587262278375924,0.1067107308287866
-3.4941004647893568,-0.9006065180069526,31.01167749957566,0.10336671134159152
-3.394100464789357,-0.865992658923944,34.93298754130624,0.09856538192410474
-3.2941004647893575,-0.8442652995539498,25.437287875884543,0.10615414237449922
-3.194100464789358,-0.8252216621669503,32.50819491233014,0.08704597592938247
-3.094100464789358,-0.8138563213375885,32.32649753165172,0.0859230659057634
-2.9941004647893585,-0.7863128991977322,20.20519441271561,0.11574643440843174
-2.894100464789359,-0.7700547950673844,19.33344472819261,0.13148095821050107
-2.7941004647893593,-0.7462700315574026,19.991886752146698,0.11737146784928135
-2.6941004647893596,-0.7346230448718362,22.339613712035426,0.11044001289229714
-2.59410046478936,-0.7157168364195601,20.483940748595487,0.1119781412169436
-2.4941004647893603,-0.6918208177806688,20.999999999999996,0.10420402281066736
-2.3941004647893607,-0.6764444904354651,25.025963918199732,0.09860807322449341
-2.294100464789361,-0.6654039803324959,18.633062556720095,0.10430088620327656
-2.1941004647893614,-0.642289243149912,18.666146110673303,0.10044559413043806
-2.0941004647893617,-0.6115192831838892,25.610186273861025,0.09730476530439197
-1.994100464789362,-0.5913370231925826,26.999999999999996,0.09594248717926812
-1.8941004647893624,-0.5771522736769329,25.10043701476395,0.09376056704380253
-1.7941004647893628,-0.5606593091137837,22.62606749495544,0.10289924767512698
-1.6941004647893632,-0.5424012123802824,21.709473658053138,0.10568319559077245
-1.5941004647893635,-0.5449389218301813,20.236134448903847,0.11645531683272636
-1.4941004647893639,-0.5138104734935026,24.75862035249665,0.11153204356761594
-1.3941004647893642,-0.5037646938170601,29.026608079870737,0.09688393979450666
-1.2941004647893646,-0.49599204254250584,20.361961732711475,0.11483620982885119
-1.194100464789365,-0.4664184214960936,16.751572876812006,0.1304924216147035
-1.0941004647893653,-0.45677254879892176,19.31943109409017,0.10834945043967746
-0.9941004647893656,-0.446754214449187,21.499707473448645,0.09615839310331038
-0.894100464789366,-0.4293316571544044,25.025498075585084,0.08712452647565617
-0.7941004647893664,-0.40620982891430135,19.944165273403115,0.10303080749434941
-0.6941004647893667,-0.40491012811819466,35.32760022851402,0.10231723926341836
-0.5941004647893671,-0.38855858602365495,43.4747439537877,0.10722401843686351
-0.4941004647893674,-0.3717232274934785,19.484150508339173,0.1219356592673071
0.505899535210629,0.36976414998624285,20.12657925166514,0.11274182365067571
0.6058995352106304,0.3819468487049337,37.74413519651521,0.11882647096883106
0.7058995352106283,0.396377070501078,19.473216898353616,0.12398441104809826
0.8058995352106262,0.4043744084041271,20.6763677025732,0.12353634066315994
0.9058995352106276,0.4117854959934212,21.329907738784314,0.13249808752267378
1.005899535210629,0.41718861463394225,21.179592269193233,0.13839868524459245
1.105899535210627,0.4202013574160327,23.738587562641804,0.1130141281715687
1.2058995352106248,0.4379246457513037,22.831701338422484,0.11657861530334253
1.3058995352106262,0.4653060822620667,21.880237041153364,0.1257136421846708
1.4058995352106276,0.46621339425047525,20.679856177984597,0.11576348467131857
1.5058995352106255,0.45758156751653717,19.86150610996586,0.11558158945899955
1.6058995352106233,0.45775760875653476,20.517228672696454,0.1341090415177074
1.7058995352106248,0.4785187214867947,21.315828398287454,0.12815754005031166
1.8058995352106262,0.49023060160647497,21.500216382615104,0.12505944887756507
1.905899535210624,0.47927559208091275,22.56666605725918,0.13033931683309444
2.005899535210622,0.5030295857673506,20.999999999999996,0.13258439096915683
2.1058995352106233,0.5112865156719267,21.860813247815525,0.12962902590632872
2.2058995352106248,0.4893583842429586,20.344219273710685,0.11898351725760999
2.3058995352106226,0.5108119298087859,16.626604018959664,0.12392337485951585
2.4058995352106205,0.5282632118921538,24.999999999999996,0.12258653862556976
2.505899535210622,0.522650705934749,26.464243469508947,0.12418620875723238
2.6058995352106233,0.5315038013821224,21.493318761517465,0.12423842607885269
2.705899535210621,0.5512403511745866,21.999999999999996,0.11911226311836647
